id_espece;id_critere
74930;2;
74930;7;
74930;14;
74930;19;
74930;23;
74930;26;
74930;29;
74930;33;
74930;38;
74930;42;
74930;47;
74930;null;
141;3;
141;8;
141;15;
141;20;
141;23;
141;26;
141;29;
141;33;
141;38;
141;42;
141;47;
141;51;
182;3;
182;8;
182;15;
182;20;
182;23;
182;26;
182;29;
182;33;
182;38;
182;42;
182;47;
182;null;
74932;3;
74932;8;
74932;15;
74932;20;
74932;23;
74932;26;
74932;29;
74932;33;
74932;38;
74932;42;
74932;47;
74932;51;
74934;3;
74934;8;
74934;15;
74934;20;
74934;23;
74934;26;
74934;29;
74934;33;
74934;38;
74934;42;
74934;47;
74934;51;
210;3;
210;8;
210;15;
210;20;
210;23;
210;26;
210;29;
210;33;
210;38;
210;42;
210;47;
210;null;
817;4;
817;9;
817;16;
817;19;
817;23;
817;26;
817;29;
817;33;
817;38;
817;42;
817;47;
817;null;
60236;5;
60236;10;
60236;14;
60236;19;
60236;23;
60236;26;
60236;29;
60236;33;
60236;38;
60236;42;
60236;null;
60236;51;
60241;3;
60241;10;
60241;14;
60241;19;
60241;23;
60241;26;
60241;29;
60241;33;
60241;38;
60241;42;
60241;null;
60241;51;
71453;5;
71453;10;
71453;14;
71453;21;
71453;23;
71453;26;
71453;29;
71453;33;
71453;38;
71453;42;
71453;null;
71453;51;
71463;5;
71463;10;
71463;14;
71463;21;
71463;24;
71463;27;
71463;30;
71463;34;
71463;39;
71463;43;
71463;null;
71463;51;
1116;2;
1116;11;
1116;14;
1116;21;
1116;24;
1116;27;
1116;31;
1116;35;
1116;40;
1116;44;
1116;null;
1116;null;
14652;2;
14652;12;
14652;17;
14652;21;
14652;24;
14652;27;
14652;31;
14652;36;
14652;40;
14652;45;
14652;null;
14652;51;
